   Group   ,    Date    ,     Day    ,    Match    ,   Referees 
 Group A   , 2021-08-14 ,  Saturday  ,  AM Vs KL   ,  Refs. AP and GK 
 Group B   , 2021-08-15 ,  Sunday    ,  AP Vs GK   ,  Refs. AM and KL 
 Group A   , 2021-08-21 ,  Saturday  ,  TS Vs JD   ,  Refs. RV and GK 
 Group B   , 2021-08-22 ,  Sunday    ,  RV Vs GK   ,  Refs. TS and JD 
 Group A   , 2021-08-28 ,  Saturday  ,  AK Vs KL   ,  Refs. RV and SS 
 Group B   , 2021-08-29 ,  Sunday    ,  RV Vs SS   ,  Refs. AK and KL 
 Group A   , 2021-09-04 ,  Saturday  ,  KL Vs JD   ,  Refs. RV and AT 
 Group B   , 2021-09-05 ,  Sunday    ,  RV Vs AT   ,  Refs. KL and JD 
 Group A   , 2021-09-11 ,  Saturday  ,  AM Vs JD   ,  Refs. SS and AP 
 Group B   , 2021-09-12 ,  Sunday    ,  SS Vs AP   ,  Refs. AM and JD 
 Group A   , 2021-09-18 ,  Saturday  ,  TS Vs AM   ,  Refs. AP and AT 
 Group B   , 2021-09-19 ,  Sunday    ,  AP Vs AT   ,  Refs. TS and AM 
 Group A   , 2021-09-25 ,  Saturday  ,  TS Vs AK   ,  Refs. GK and AT 
 Group B   , 2021-09-26 ,  Sunday    ,  GK Vs AT   ,  Refs. TS and AK 
 Group A   , 2021-10-02 ,  Saturday  ,  AM Vs AK   ,  Refs. SS and AT 
 Group B   , 2021-10-03 ,  Sunday    ,  SS Vs AT   ,  Refs. AM and AK 
 Group A   , 2021-10-09 ,  Saturday  ,  TS Vs KL   ,  Refs. RV and AP 
 Group B   , 2021-10-10 ,  Sunday    ,  RV Vs AP   ,  Refs. TS and KL 
 Group A   , 2021-10-16 ,  Saturday  ,  AK Vs JD   ,  Refs. SS and GK 
 Group B   , 2021-10-17 ,  Sunday    ,  SS Vs GK   ,  Refs. AK and JD 
1st Semi Final , 2021-10-24 , Saturday, A1 vs B2 , Refs. B1 and A2
2nd Semi Final , 2021-10-25 , Sunday,  B1 vs A2 , Refs. A1 and B2
Final Match , 2021-10-31, Saturday,,
